Filename: "C:\Users\Jake H\Documents\GitHub\Resilience-Project\qPCR data\5272015\rawfluoro.csv"

Wellset: "Default"

Step,Cycle,Dye,Temp.,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,
6, 12, SBGnew, 72.0, 0.0037,0.0015,0.0033,0.0038,0.0021,0.0013,0.0005,0.0038,0.0026,0.0008,0.0041,0.0041,0.0026,0.0011,0.0006,0.0031,0.0025,0.0037,0.0046,0.0001,0.0035,0.0027,0.0027,0.0030,0.0021,0.0019,0.0048,0.0013,0.0055,0.0042,0.0031,0.0033,
6, 13, SBGnew, 72.0, 0.0033,0.0010,0.0029,0.0033,0.0018,0.0008,0.0005,0.0039,0.0025,0.0013,0.0042,0.0040,0.0020,0.0007,0.0005,0.0029,0.0024,0.0037,0.0045,0.0002,0.0031,0.0031,0.0030,0.0028,0.0021,0.0018,0.0043,0.0009,0.0058,0.0026,0.0029,0.0030,
6, 14, SBGnew, 72.0, 0.0035,0.0007,0.0021,0.0029,0.0011,0.0004,0.0001,0.0041,0.0024,0.0012,0.0039,0.0034,0.0015,0.0000,0.0004,0.0026,0.0021,0.0036,0.0038,0.0000,0.0033,0.0033,0.0019,0.0026,0.0024,0.0018,0.0036,0.0007,0.0049,0.0026,0.0027,0.0031,
6, 15, SBGnew, 72.0, 0.0031,0.0008,0.0016,0.0028,0.0006,0.0000,0.0001,0.0043,0.0020,0.0009,0.0037,0.0028,0.0009,0.0003,0.0006,0.0026,0.0016,0.0034,0.0040,0.0004,0.0029,0.0039,0.0021,0.0019,0.0023,0.0019,0.0033,0.0003,0.0050,0.0019,0.0022,0.0029,
6, 16, SBGnew, 72.0, 0.0025,0.0006,0.0010,0.0024,0.0000,0.0003,0.0000,0.0038,0.0021,0.0006,0.0027,0.0031,0.0008,0.0002,0.0001,0.0022,0.0017,0.0030,0.0044,0.0000,0.0027,0.0035,0.0012,0.0021,0.0019,0.0009,0.0023,0.0000,0.0043,0.0015,0.0016,0.0022,
6, 17, SBGnew, 72.0, 0.0024,0.0003,0.0008,0.0019,0.0001,0.0005,0.0000,0.0035,0.0022,0.0001,0.0025,0.0036,0.0000,0.0000,0.0000,0.0021,0.0013,0.0026,0.0036,0.0006,0.0022,0.0030,0.0003,0.0015,0.0016,0.0007,0.0030,0.0007,0.0034,0.0010,0.0007,0.0026,
6, 18, SBGnew, 72.0, 0.0021,0.0002,0.0009,0.0013,0.0005,0.0003,0.0001,0.0028,0.0023,0.0000,0.0014,0.0025,0.0003,0.0001,0.0004,0.0017,0.0012,0.0022,0.0036,0.0014,0.0019,0.0023,0.0000,0.0017,0.0010,0.0003,0.0029,0.0023,0.0027,0.0011,0.0001,0.0021,
6, 19, SBGnew, 72.0, 0.0014,0.0000,0.0007,0.0013,0.0007,0.0009,0.0008,0.0023,0.0021,0.0003,0.0011,0.0025,0.0009,0.0004,0.0011,0.0013,0.0011,0.0022,0.0034,0.0036,0.0012,0.0015,0.0004,0.0015,0.0007,0.0000,0.0027,0.0054,0.0023,0.0003,0.0002,0.0025,
6, 20, SBGnew, 72.0, 0.0011,0.0000,0.0004,0.0005,0.0018,0.0025,0.0025,0.0020,0.0019,0.0008,0.0005,0.0022,0.0014,0.0004,0.0023,0.0010,0.0013,0.0020,0.0032,0.0082,0.0016,0.0009,0.0002,0.0012,0.0005,0.0001,0.0022,0.0111,0.0016,0.0004,0.0000,0.0020,
6, 21, SBGnew, 72.0, 0.0010,0.0002,0.0000,0.0002,0.0023,0.0033,0.0052,0.0016,0.0013,0.0008,0.0002,0.0010,0.0020,0.0005,0.0066,0.0008,0.0006,0.0014,0.0016,0.0160,0.0007,0.0000,0.0005,0.0013,0.0004,0.0002,0.0018,0.0227,0.0009,0.0000,0.0000,0.0019,
6, 22, SBGnew, 72.0, 0.0004,0.0011,0.0000,0.0002,0.0023,0.0071,0.0104,0.0012,0.0006,0.0026,0.0000,0.0000,0.0047,0.0030,0.0152,0.0001,0.0006,0.0007,0.0010,0.0332,0.0004,0.0000,0.0023,0.0010,0.0004,0.0004,0.0008,0.0445,0.0010,0.0008,0.0006,0.0014,
6, 23, SBGnew, 72.0, 0.0003,0.0034,0.0005,0.0000,0.0038,0.0159,0.0201,0.0009,0.0003,0.0056,0.0006,0.0005,0.0103,0.0083,0.0301,0.0001,0.0005,0.0003,0.0003,0.0652,0.0000,0.0001,0.0053,0.0005,0.0004,0.0002,0.0000,0.0864,0.0005,0.0016,0.0014,0.0007,
6, 24, SBGnew, 72.0, 0.0003,0.0083,0.0021,0.0008,0.0081,0.0322,0.0381,0.0004,0.0002,0.0133,0.0028,0.0012,0.0212,0.0197,0.0578,0.0001,0.0002,0.0000,0.0003,0.1259,0.0004,0.0013,0.0115,0.0003,0.0002,0.0005,0.0004,0.1616,0.0000,0.0041,0.0040,0.0002,
6, 25, SBGnew, 72.0, 0.0001,0.0172,0.0051,0.0029,0.0174,0.0613,0.0702,0.0000,0.0000,0.0280,0.0067,0.0040,0.0434,0.0418,0.1048,0.0000,0.0000,0.0002,0.0000,0.2269,0.0004,0.0039,0.0241,0.0002,0.0002,0.0002,0.0017,0.2845,0.0001,0.0095,0.0097,0.0000,
