"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","exp.eff","LRE.eff","exp.point","exp.AIC","exp.resVar","exp.RMSE","exp.init","sli.rsq","sli.init","sli.base","Names"
"H_T_2","1.3975","326.8086","352.0185","350.8756","0.5738202","0.5383052","18.45","17.67",NA,NA,NA,NA,NA,NA,"22.95665","14.8693","0.0620211",NA,"-31.33529","14.8693","56.39326","18.48878","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_2"
"N_T_2","1.437998","232.995","338.4842","337.3413","0.6323969","0.6017633","20.9","20.2",NA,NA,NA,NA,NA,NA,"21.24139","13.53774","0.0138187",NA,"-39.77149","13.53774","52.58278","20.92543","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_2"
"S_T_2","1.551254","234.6104","338.7606","337.6177","0.6872834","0.6612237","20.72","20.18",NA,NA,NA,NA,NA,NA,"22.80819","13.85513","0.003236745",NA,"-50.46518","13.85513","57.88367","20.73349","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_2"
"**NT_C_2**","0.9125703","137.6483","317.4316","316.2887","0.4184815","0.3700216","82","15.36",NA,NA,NA,NA,NA,NA,"27.62202","44.16881","112.6069",NA,"7.733516","21.22826","44.16881","13.58291","l4",NA,"0.8726375",NA,"15","81.94291","10.12284","2.845746","6.38035",NA,NA,NA,"**NT_C_2**"
"H_C_3","1.473183","240.8266","339.8066","338.6637","0.6641699","0.636184","20.26","19.81",NA,NA,NA,NA,NA,NA,"25.27934","16.6601","0.01173816",NA,"-59.16157","16.6601","58.87599","20.27081","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_3"
"N_C_3","1.49025","397.3685","359.8381","358.6952","0.5669585","0.5308717","19.7","19.2",NA,NA,NA,NA,NA,NA,"25.00912","16.08579","0.01179019",NA,"-51.60139","16.08579","60.39152","19.71946","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_C_3"
"S_C_3","1.50208","352.3269","355.0259","353.883","0.6198093","0.5881267","17.67","17.09",NA,NA,NA,NA,NA,NA,"25.12371","15.70715","0.02401033",NA,"-40.19494","15.70715","63.11141","17.69344","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_C_3"
"H_T_3","1.683917","363.6515","356.2914","355.1485","0.619008","0.5872587","18.48","17.9",NA,NA,NA,NA,NA,NA,"20.81718","11.33528","0.001850465",NA,"-42.13881","11.33528","59.05374","18.50223","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_T_3"
"N_T_3","1.521326","292.0566","347.5214","346.3786","0.6249861","0.593735","19.13","18.3",NA,NA,NA,NA,NA,NA,"19.41079","10.9282","0.008982012",NA,"-30.37405","10.9282","54.48406","19.17548","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N_T_3"
"S_T_3","1.519421","262.4575","343.2471","342.1042","0.6569382","0.6283497","20.75","20.06",NA,NA,NA,NA,NA,NA,"21.52123","12.76617","0.004879831",NA,"-39.61147","12.76617","56.49319","20.77375","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S_T_3"
"*NT_C_3*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*NT_C_3*"
"H_C_4","1.454848","286.804","346.7955","345.6526","0.5723934","0.5367596","19.1","18.51",NA,NA,NA,NA,NA,NA,"21.83847","14.12249","0.02115769",NA,"-42.54757","14.12249","52.44937","19.11933","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H_C_4"
