"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"S_T_4","1.173565","1122.884","401.3897","400.2469","0.9999186","0.9999118","32.44","30.44",NA,NA,NA,NA,NA,NA,"5970.167","4046.234","45.72914",NA,"-21.42657","4046.234","14235.1","32.5829","l4","1.191674","0.995485","29.41928","0","30","1.901801","239.6649","146.8847","11.49766","1.196147e-05","1.102982","0.1501728","0","S_T_4"
"**NT_C_4**","0.9486889","10.44983","214.307","213.1641","0.8865607","0.8771075","40","1",NA,NA,NA,NA,NA,NA,"3820.502","4027.139","4027.139",NA,"0.05797711","3105.084","4027.139","2008399437","l4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"**NT_C_4**"
"H_C_5","1.160284","942.1616","394.3706","393.2277","0.9999161","0.9999092","30.28","28.32",NA,NA,NA,NA,NA,NA,"5228.95","3693.259","77.61614",NA,"-20.53877","3693.259","11901.82","30.41984","l4","1.180865","0.995516","48.3722","0","28","1.862661","245.3993","315.4491","16.78246","6.508783e-05","1.092672","0.1555958","0","H_C_5"
"N_C_5","1.163347","889.1801","392.0555","390.9127","0.9999358","0.9999304","29.31","27.33",NA,NA,NA,NA,NA,NA,"5458.896","3825.026","87.35219",NA,"-19.71611","3825.026","12618.16","29.4567","l4","1.183686","0.9951804","55.76839","0","27","1.88854","179.44","37.69537","5.788523","8.95262e-05","1.099001","0.1345942","0","N_C_5"
"S_C_5","1.165049","907.7495","392.8823","391.7394","0.9999271","0.999921","30.68","28.71",NA,NA,NA,NA,NA,NA,"5433.202","3787.832","67.65774",NA,"-20.67356","3787.832","12587.31","30.82535","l4","1.183387","0.9937684","44.65463","0","28","1.965259","248.3307","350.2655","17.68437","1.295309e-05","1.051264","0.3412269","0","S_C_5"
"H_T_5","1.159852","802.9699","387.9762","386.8334","0.9999196","0.9999129","31.99","29.99",NA,NA,NA,NA,NA,NA,"5300.481","3715.836","62.07016",NA,"-21.21124","3715.836","12152.65","32.13333","l4","1.175429","0.9899013","43.20563","0","29","1.957146","226.4438","121.9814","10.45766","5.964057e-06","1.007626","0.4972955","0","H_T_5"
"N_T_5","1.165327","823.4985","388.986","387.8431","0.9999328","0.9999272","30.7","28.72",NA,NA,NA,NA,NA,NA,"5374.489","3735.287","66.36827",NA,"-20.53333","3735.287","12481.7","30.84682","l4","1.183203","0.9936744","44.28271","0","28","1.91981","206.0077","77.25833","8.305459","2.415156e-05","1.049912","0.3465517","0","N_T_5"
"S_T_5","1.163958","498.4894","368.9068","367.764","0.999937","0.9999317","34.79","32.74",NA,NA,NA,NA,NA,NA,"5644.226","3881.965","39.15749",NA,"-22.56289","3881.965","13207.86","34.92356","l4","1.183646","0.9938072","23.273","0","32","1.930126","250.2419","125.2889","10.65566","1.581998e-06","1.052001","0.3407267","0","S_T_5"
"H_C_6","1.160488","1196.241","403.9211","402.7782","0.9994281","0.9993804","38.56","36.56",NA,NA,NA,NA,NA,NA,"5708.531","3967.464","24.73239",NA,"-25.47663","3967.464","13025.57","38.67946","l4","1.181659","0.994607","13.09262","0","36","1.829182","355.7748","1001.792","30.30362","8.175406e-07","1.064309","0.2740015","0","H_C_6"
"N_C_6","1.175528","1348.3","408.7075","407.5647","0.9999183","0.9999115","32.46","30.45",NA,NA,NA,NA,NA,NA,"6451.38","4349.849","46.88742",NA,"-21.3899","4349.849","15510.56","32.60268","l4","1.193736","0.9953507","30.10306","0","30","1.907294","212.536","59.46278","7.315497","1.192109e-05","1.105461","0.1434688","0","N_C_6"
"S_C_6","1.169955","856.8761","390.5753","389.4324","0.9999397","0.9999347","30.06","28.11",NA,NA,NA,NA,NA,NA,"5555.812","3839.279","67.37746",NA,"-20.38081","3839.279","12991.82","30.2065","l4","1.188022","0.9947362","44.78897","0","28","1.89006","220.4677","129.4874","10.75239","5.575363e-05","1.138521","0.03331316","0","S_C_6"
