"","sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names"
"H_T_6","1.212135","43936.73","548.0638","546.9209","0.9990319","0.9989512","31.33","28.53",NA,NA,NA,NA,NA,NA,"6902.317","3596.517","28.52876",NA,"-14.88557","3596.517","22129.74","31.61295","l4","1.248902","0.9938962","11.89818","0","28","1.884989","182.418","33.27034","5.45029","8.108333e-05","1.485025","0.8853508","0","H_T_6"
"N_T_6","1.216055","54674.37","556.8095","555.6667","0.9990673","0.9989896","29.87","27.02",NA,NA,NA,NA,NA,NA,"7100.359","3631.13","35.9618",NA,"-13.96933","3631.13","23334.66","30.17602","l4","1.256573","0.994888","14.57054","0","27","1.853849","198.5173","76.40921","8.241317","0.0003257172","1.429644","0.7272395","0","N_T_6"
"S_T_6","1.199504","35783.29","539.853","538.7101","0.9990274","0.9989463","31.07","28.26",NA,NA,NA,NA,NA,NA,"6437.703","3501.949","37.68273",NA,"-14.70669","3501.949","19970.76","31.35448","l4","1.234405","0.991956","16.71752","0","28","1.8623","196.3958","54.80997","6.995532","0.0001165603","1.368344","0.5634125","0","S_T_6"
"H_C_7","1.202287","29515.88","532.1509","531.008","0.9992066","0.9991404","29.56","26.83",NA,NA,NA,NA,NA,NA,"6072.615","3345.305","43.32666",NA,"-14.40556","3345.305","18705.97","29.84268","l4","1.241027","0.9945372","18.25521","0","26","1.859514","247.079","652.0183","24.01636","0.0002709841","1.426316","0.7321741","0","H_C_7"
"N_C_7","1.207898","65175.49","563.8371","562.6942","0.9990421","0.9989623","28.58","25.58",NA,NA,NA,NA,NA,NA,"7248.193","3709.181","57.79536",NA,"-12.6855","3709.181","24148.2","28.93521","l4","1.25145","0.9955038","22.5821","0","25","1.885733","166.9955","38.46601","5.818083","0.0005407841","1.471196","0.8817862","0","N_C_7"
"S_C_7","1.194097","40226.29","544.5346","543.3917","0.9990268","0.9989457","29.79","26.85",NA,NA,NA,NA,NA,NA,"6364.921","3454.758","54.36027",NA,"-13.4925","3454.758","20063.21","30.11655","l4","1.236284","0.9952468","20.9986","0","26","1.887511","153.9796","18.16192","4.008281","0.0001978078","1.417968","0.7771626","0","S_C_7"
"H_T_7","1.190296","41472.11","545.7546","544.6117","0.9990207","0.9989391","28.9","25.93",NA,NA,NA,NA,NA,NA,"6264.701","3445.429","68.41784",NA,"-12.98645","3445.429","19710.74","29.24462","l4","1.233042","0.9948813","26.90732","0","25","1.903259","142.1852","14.25864","3.542259","0.0002787628","1.396414","0.7151121","0","H_T_7"
"N_T_7","1.201375","47260.1","550.9804","549.8375","0.9990721","0.9989948","28.78","25.84",NA,NA,NA,NA,NA,NA,"6571.087","3492.197","57.3772",NA,"-13.05553","3492.197","21216.25","29.11863","l4","1.244599","0.9956798","22.49013","0","25","1.897253","154.716","23.53756","4.551159","0.0003469799","1.426409","0.7758993","0","N_T_7"
"S_T_7","1.189541","39108.6","543.4074","542.2646","0.9990172","0.9989353","29.23","26.26",NA,NA,NA,NA,NA,NA,"6176.02","3395.956","64.75131",NA,"-13.1071","3395.956","19365.79","29.57221","l4","1.229566","0.9930091","26.35366","0","26","1.857183","177.9825","45.71897","6.359536","0.0004000754","1.475936","0.9232069","0","S_T_7"
"H_C_8","1.192654","26599.51","527.9894","526.8466","0.999189","0.9991214","29.06","26.27",NA,NA,NA,NA,NA,NA,"5731.518","3233.967","56.00592",NA,"-13.89448","3233.967","17440.81","29.35985","l4","1.23068","0.9938246","23.95714","0","26","1.827958","240.6812","509.7923","21.23606","0.0005317224","1.038332","0.5652901","0","H_C_8"
"N_C_8","1.197554","32086.07","535.4906","534.3478","0.9990314","0.9989507","31.02","28.22",NA,NA,NA,NA,NA,NA,"6145.013","3370.217","37.9349",NA,"-14.71191","3370.217","18957.45","31.3125","l4","1.231787","0.9925379","16.75185","0","28","1.849662","250.4674","378.0406","18.37216","0.0001358055","1.366135","0.5865761","0","N_C_8"
"S_C_8","1.201428","34056.25","537.8743","536.7314","0.9991454","0.9990742","29.21","26.41",NA,NA,NA,NA,NA,NA,"6097.675","3325.823","47.9011",NA,"-13.88241","3325.823","19099.08","29.52017","l4","1.240876","0.9940784","19.88454","0","26","1.871499","180.895","51.13826","6.725897","0.000301143","1.482363","0.8875873","0","S_C_8"
"H_T_8","1.189919","39141.61","543.4412","542.2983","0.9990448","0.9989652","28.9","25.96",NA,NA,NA,NA,NA,NA,"6224.028","3442.584","68.17776",NA,"-13.09694","3442.584","19410.18","29.23534","l4","1.231401","0.9949408","27.55735","0","25","1.914817","186.2589","83.12213","8.55263","0.0002345807","1.38948","0.704363","0","H_T_8"
"N_T_8","1.19422","43447.7","547.6161","546.4732","0.9991111","0.999037","28.21","25.27",NA,NA,NA,NA,NA,NA,"6504.008","3558.255","73.32656",NA,"-12.81151","3558.255","20584.54","28.55206","l4","1.235105","0.9936429","30.33531","0","25","1.855755","190.1047","96.94523","9.236439","0.000788347","1.482175","0.9131378","0","N_T_8"
"S_T_8","1.194454","28158.44","530.2676","529.1248","0.9990443","0.9989646","31.45","28.67",NA,NA,NA,NA,NA,NA,"6047.452","3364.148","37.07833",NA,"-15.04057","3364.148","18372.91","31.7286","l4","1.23205","0.9957196","15.0466","0","28","1.88423","177.9402","28.35337","5.031452","6.161027e-05","1.434585","0.8341232","0","S_T_8"
