"sig.eff","sig.resVar","sig.AICc","sig.AIC","sig.Rsq","sig.Rsq.ad","sig.cpD1","sig.cpD2","sig.cpE","sig.cpR","sig.cpT","sig.Cy0","sig.cpCQ","sig.cpMR","sig.fluo","sig.init1","sig.init2","sig.cf","sig.b","sig.c","sig.d","sig.e","sig.model","sli.eff","sli.rsq","sli.init","sli.base","exp.point","exp.eff","exp.AIC","exp.resVar","exp.RMSE","exp.init","LRE.eff","LRE.rsq","LRE.base","Names","Pop","Treat","Sample","Gene"
1.217727,"9361.255","486.2169","485.074","0.9996232","0.9995918","29.51",27.45,NA,NA,NA,NA,NA,NA,"5619.369","3409.554","25.19637",NA,"-18.98717","3409.554","15351.2","29.67915","l4","1.221501","0.9971479","23.89872","0","27","1.770041","281.4551","1648.915","38.28449","0.0006379949","1.013527","0.637757","0","H_C_7","H","C","7","Actin"
1.216992,"7850.672","479.1777","478.0348","0.9996997","0.9996747","29.65",27.54,NA,NA,NA,NA,NA,NA,"5741.349","3451.359","25.71538",NA,"-18.63768","3451.359","15803.07","29.8164","l4","1.221765","0.9974142","23.811","0","27","1.860034","169.9271","26.50166","4.853558","0.0001735506","1.014529","0.6361302","0","N_C_7","N","C","7","Actin"
1.190168,"7636.786","478.0728","476.9299","0.9996741","0.999647","25.38",23.26,NA,NA,NA,NA,NA,NA,"5361.02","3471.392","93.45463",NA,"-15.90784","3471.392","13940.34","25.58085","l4","1.198936","0.9971571","81.31649","0","23","1.858158","168.5978","72.559","7.943222","0.00209737","1.021572","0.5817678","0","S_C_7","S","C","7","Actin"
1.204541,"6201.273","469.7439","468.6011","0.9997116","0.9996876","28.28",26.23,NA,NA,NA,NA,NA,NA,"5300.436","3337.419","40.21271",NA,"-18.31424","3337.419","14000.04","28.45135","l4","1.211017","0.9965139","36.00851","0","26","1.851062","181.2626","51.86645","6.773615","0.0003740051","1.035098","0.5504863","0","H_T_7","H","T","7","Actin"
1.19809,"5601.917","465.6781","464.5352","0.9997259","0.9997031","28.52",26.44,NA,NA,NA,NA,NA,NA,"5306.222","3371.391","44.61964",NA,"-18.20068","3371.391","13860.86","28.68999","l4","1.206914","0.9972427","37.91685","0","26","1.840514","176.2364","42.74948","6.14954","0.0003761112","1.000402","0.6494836","0","N_T_7","N","T","7","Actin"
1.196942,"5040.111","461.4509","460.308","0.9997209","0.9996977","29.44",27.36,NA,NA,NA,NA,NA,NA,"5172.964","3294.681","37.8142",NA,"-18.83754","3294.681","13455.61","29.60225","l4","1.206534","0.9971965","31.30364","0","27","1.844577","167.3938","24.12819","4.631121","0.0001955102","1.00898","0.6222366","0","S_T_7","S","T","7","Actin"
1.193099,"6326.473","470.5434","469.4006","0.9997023","0.9996775","29.11",26.89,NA,NA,NA,NA,NA,NA,"5379.687","3367.458","46.65783",NA,"-17.39453","3367.458","14379","29.30822","l4","1.201804","0.9957103","39.72473","0","26","1.709691","272.5205","1734.703","39.17327","0.001887558","1.069945","0.4029918","0","H_C_8","H","C","8","Actin"
1.215863,"8197.062","480.9048","479.7619","0.9996983","0.9996731","27.49",25.4,NA,NA,NA,NA,NA,NA,"5496.652","3340.406","38.37349",NA,"-17.40936","3340.406","15105.11","27.67642","l4","1.219776","0.9972639","36.49789","0","25","1.810785","234.2339","566.4057","22.3257","0.001172906","1.026305","0.5972306","0","N_C_8","N","C","8","Actin"
1.217323,"8700.373","483.2884","482.1455","0.9996756","0.9996486","27.64",25.58,NA,NA,NA,NA,NA,NA,"5522.298","3371.595","36.09409",NA,"-17.84059","3371.595","15074.49","27.80965","l4","1.220858","0.9974117","34.7419","0","25","1.852774","209.7181","212.4447","13.67302","0.0006109475","1.00194","0.6692471","0","S_C_8","S","C","8","Actin"
1.2126,"6539.015","471.8652","470.7223","0.9997053","0.9996807","30.09",27.96,NA,NA,NA,NA,NA,NA,"5432.355","3285.086","24.78814",NA,"-18.73223","3285.086","14879.51","30.26113","l4","1.216399","0.9959781","23.60393","0","27","1.861368","199.753","79.98726","8.432069","0.0001247691","1.087393","0.3797213","0","H_T_8","H","T","8","Actin"
1.213114,"6048.292","468.7448","467.6019","0.9997423","0.9997208","28.76",26.67,NA,NA,NA,NA,NA,NA,"5370.698","3286.578","31.07239",NA,"-18.31579","3286.578","14614.42","28.92968","l4","1.219031","0.9971155","28.2582","0","26","1.862468","166.3825","29.26409","5.087973","0.0002630307","1.122898","0.219387","0","N_T_8","N","T","8","Actin"
1.210005,"6737.584","473.0618","471.9189","0.9996665","0.9996387","29.02",27.03,NA,NA,NA,NA,NA,NA,"5259.681","3300.592","30.42429",NA,"-19.32287","3300.592","13836.31","29.17647","l4","1.212717","0.9948417","29.52395","0","27","1.832969","191.9871","59.99383","7.302592","0.0002906799","1.062673","0.4512665","0","S_T_8","S","T","8","Actin"
