,sig.eff,sig.resVar,sig.AICc,sig.AIC,sig.Rsq,sig.Rsq.ad,sig.cpD1,sig.cpD2,sig.cpE,sig.cpR,sig.cpT,sig.Cy0,sig.cpCQ,sig.cpMR,sig.fluo,sig.init1,sig.init2,sig.cf,sig.b,sig.c,sig.d,sig.e,sig.model,sli.eff,sli.rsq,sli.init,sli.base,exp.point,exp.eff,exp.AIC,exp.resVar,exp.RMSE,exp.init,LRE.eff,LRE.rsq,LRE.base,Names
,N_T_5,30.94,15.65,15.29,27.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_T_5,31.35,16.61,14.74,28.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_C_6,36.99,20.28,16.71,32.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_C_6,33.22,17.62,15.6,29.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_C_6,31.06,18.31,12.75,30.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_T_6,31.01,15.73,15.28,27.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_T_6,30.76,15.71,15.05,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_T_6,32.08,15.93,16.15,27.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_C_7,30.94,17.95,12.99,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_C_7,33.27,16.31,16.96,28.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_C_7,32.91,17.16,15.75,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_T_7,31.58,40,-8.42,52.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_T_7,30.72,16.73,13.99,28.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_T_7,31.57,17.32,14.25,29.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_C_8,30.09,17.24,12.85,29.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_C_8,34.43,17.62,16.81,29.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_C_8,31.76,16.81,14.95,28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H_T_8,31.32,40,-8.68,52.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N_T_8,32.83,16.67,16.16,28.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S_T_8,35.22,18.71,16.51,30.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12.533125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
